idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_泛化_test_2,lt_pred_um__wtlt_big_泛化_test_2,wt_abs_err_um__wtlt_big_泛化_test_2,lt_abs_err_um__wtlt_big_泛化_test_2,wt_pct_err__wtlt_big_泛化_test_2,lt_pct_err__wtlt_big_泛化_test_2,wt_pred_um__wtlt_big_泛化_test_data,lt_pred_um__wtlt_big_泛化_test_data,wt_abs_err_um__wtlt_big_泛化_test_data,lt_abs_err_um__wtlt_big_泛化_test_data,wt_pct_err__wtlt_big_泛化_test_data,lt_pct_err__wtlt_big_泛化_test_data
657,6.0612245,1066.7797,6.132072,692.0948,0.07084751,374.68488,1.1688647,35.122986,6.2123985,645.08453,0.15117407,421.69513,2.4941177,39.52973
658,6.0612245,1083.3899,5.5543146,643.71436,0.50690985,439.67554,8.363159,40.583317,5.6628466,594.5983,0.3983779,488.79156,6.5725646,45.116867
659,6.0612245,1100.0001,4.9697175,592.28186,1.091507,507.71826,18.008028,46.1562,5.1175585,542.1934,0.943666,557.8067,15.5689,50.709694
660,6.3673472,120.00001,0.9614836,59.855354,5.405864,60.144653,84.89978,50.120537,1.1994839,48.24409,5.1678634,71.75592,81.16195,59.796597
661,6.3673472,136.61017,0.9116404,60.19952,5.4557066,76.410645,85.68256,55.93335,1.1651773,45.52322,5.20217,91.086945,81.700745,66.676544
662,6.3673472,153.22034,0.8683873,60.194813,5.49896,93.02553,86.36187,60.713566,1.1179534,45.54059,5.249394,107.67975,82.442406,70.27772
663,6.3673472,169.8305,0.83577824,59.805626,5.531569,110.02488,86.87399,64.78511,1.0692102,46.260616,5.298137,123.569885,83.20792,72.76071
664,6.3673472,186.44069,0.8129653,59.505013,5.554382,126.93568,87.23228,68.08368,1.0402724,46.88102,5.327075,139.55966,83.66239,74.85473
665,6.3673472,203.05087,0.7939478,59.335773,5.5733995,143.7151,87.53095,70.77788,1.0244496,47.37272,5.3428974,155.67816,83.91088,76.66954
666,6.3673472,219.66103,0.7749249,59.27876,5.5924225,160.38226,87.82971,73.01353,1.0142797,47.82005,5.3530674,171.84097,84.0706,78.23007
667,6.3673472,236.27116,0.75514877,59.31563,5.6121984,176.95554,88.14029,74.89511,1.0064157,48.26471,5.3609314,188.00645,84.194115,79.57233
668,6.3673472,252.88133,0.7360459,59.425674,5.6313014,193.45566,88.44031,76.50057,0.9994087,48.73768,5.3679385,204.14365,84.30416,80.72705
669,6.3673472,269.49158,0.71939504,59.603096,5.647952,209.88849,88.701805,77.88313,0.9926685,49.26209,5.3746786,220.22949,84.41001,81.72037
670,6.3673472,286.10168,0.7059394,59.87819,5.661408,226.2235,88.91313,79.07101,0.9855451,49.781635,5.381802,236.32005,84.52189,82.60002
671,6.3673472,302.71188,0.6957334,60.303493,5.6716137,242.40839,89.07341,80.07891,0.9725632,49.95864,5.394784,252.75323,84.72577,83.4963
672,6.3673472,319.32202,0.6886219,60.939575,5.6787252,258.38245,89.185104,80.915955,0.94992524,49.41937,5.417422,269.90265,85.08131,84.52365
673,6.3673472,335.9322,0.6830938,61.93307,5.6842537,273.9991,89.27193,81.56382,0.92440397,48.657265,5.442943,287.27493,85.48212,85.51575
